Euclidean Maze			Wormhole Maze		
						
S	Well/Sk	Cact/Book	S	Well/Sk	Cact/Book
						
1	10.46	11.12		10	9.9	13.37
2	13.39	9.92		11	5.64	4.28
3	17.4	10.53		12	9.71	4.46
4	16.64	8.34		13	7.15	4.73
5	14.23	10.42		14	5.5	4.35
6	11.63	12.38		15	7.08	4.27
7	12.94	11.65		16	5.24	4.26
8	12.42	11.35		17	7.47	3.95
9	14.3	11.69		18	6.47	4.31
				19	12	3.13
						
Mean	13.71	10.82			7.62	5.11
SD	2.24	1.2			2.23	2.93
						
Grand Mean	12.27				6.36	
Grand SD	2.29				2.84	
