Euclidean Maze				Wormhole Maze		
						
S	Well/Sk	Cact/Book	S	Well/Sk	Cact/Book
						
1	14.09	14.61		10	10.15	13.71
2	15.84	13.25		11	10.09	7.07
3	26	13.93		12	16.44	7.1
4	20.53	9.91		13	10.68	7.13
5	18.52	15.93		14	8.42	5.76
6	17.14	20.85		15	12.92	6.8
7	19.38	15.87		16	8	5.98
8	21.77	20.97		17	10.06	5.46
9	17.9	15.13		18	11.14	7.23
				19	19.57	5.77
						
Mean	19.02	15.6			11.75	7.2
SD	3.5	3.51			3.64	2.38
						
Grand Mean	17.31				9.47	
Grand SD	3.83				3.8	
