Euclidean Maze			Wormhole Maze	
S	Trials		S	Trials
				
1	10		10	15
2	17		11	13
3	15		12	19
4	14		13	19
5	13		14	9
6	15		15	16
7	20		16	9
8	12		17	8
9	19		18	13
			19	17
20	9		30	18
21	13		31	14
22	9		32	12
23	10		33	9
24	9		34	10
25	15		35	17
26	9		36	15
27	15		37	21
28	10		38	16
29	10		39	13
				
Mean	12.84			14.15
SD	3.48			3.82
				
per obj	1.61			1.77
				
N	19			20
